bin	observed	predicted	residual	idx	good_residual	pvals	chr	start	end
16_303	4.9470342171515	2.079961061477661	2.8670731556738387	7700	2.8670731556738387	0.00020799683845812027	chr16	30218121	30318180
2_874	4.78681889311759	2.823930025100708	1.962888868016882	12000	1.962888868016882	0.000854772168972238	chr2	87334921	87434960
7_623	-4.49351013539853	-2.0045275688171387	-2.4889825665813916	19627	2.4889825665813916	0.00035258318476196133	chr7	62214929	62314952
10_493	6.15024081670268	3.041440486907959	3.108800329794721	2460	3.108800329794721	0.00015378932726540733	chr10	49212301	49312325
8_23	7.13616228649365	2.7303478717803955	4.405814414713254	20524	4.405814414713254	4.199455096614372e-05	chr8	2200947	2300989
10_490	-4.35577670194732	-2.10951566696167	-2.2462610349856504	2459	2.2462610349856504	0.0005170684224880924	chr10	48912226	49012250
16_328	-4.40381441382915	-1.3556653261184692	-3.048149087710681	7727	3.048149087710681	0.0001655149658683815	chr16	32719621	32819680
11_896	6.42677937301208	3.5293080806732178	2.897471292338862	4005	2.897471292338862	0.00019997120587694937	chr11	89503581	89603584
7_764	4.20047596941014	1.906495451927185	2.2939805174829546	19751	2.2939805174829546	0.00047806553964698656	chr7	76318313	76418336
2_902	5.01616164302769	3.056285858154297	1.9598757848733932	12017	1.9598757848733932	0.0008596754869592938	chr2	90136041	90236080
6_659	4.5425854030978	2.3981246948242188	2.1444607082735816	18504	2.1444607082735816	0.0006147134214876633	chr6	65805265	65905272
2_872	-4.42628673381991	-1.4217976331710815	-3.0044891006488283	11998	3.0044891006488283	0.00017466543232505665	chr2	87134841	87234880
16_215	-4.49842358091066	-1.3991152048110962	-3.0993083760995637	7603	3.0993083760995637	0.00015555310253140766	chr16	21412841	21512900
2_1957	4.27615744142215	2.3880317211151123	1.8881257203070376	10867	1.8881257203070376	0.000987688734434543	chr2	195678241	195778280
16_709	5.56276993905215	2.1948258876800537	3.3679440513720964	8016	3.3679440513720964	0.00011410388082585383	chr16	70842481	70942540
4_1368	-1.52743431250172	0.43937742710113525	-1.9668117396028553	14988	1.9668117396028553	0.0008484411203255556	chr4	136738277	136838304
2_1112	5.25850256704729	3.258134126663208	2.000368440384082	10059	2.000368440384082	0.0007966333555958237	chr2	111144441	111244480
1_1461	-4.52487998509394	-1.7511801719665527	-2.7736998131273873	205	2.7736998131273873	0.0002353485076745608	chr1	146029201	146129220
1_837	5.54224093975429	2.5342836380004883	3.0079573017538017	1585	3.0079573017538017	0.00017391542051109908	chr1	83616721	83716740
9_443	-4.33958014704239	-1.7977421283721924	-2.541838018670197	21783	2.541838018670197	0.0003259873348843355	chr9	44203979	44303987
8_437	5.25912891510272	3.0119054317474365	2.2472234833552838	20734	2.2472234833552838	0.000516242771341978	chr8	43618749	43718791
9_406	4.14798364350761	2.2286274433135986	1.9193562001940112	21775	1.9193562001940112	0.000929200302117772	chr9	40503646	40603654
2_1313	7.51010718840829	3.7325668334960938	3.7775403549121966	10223	3.7775403549121966	7.441544409971589e-05	chr2	131252481	131352520
9_402	-4.33958014704239	-2.4136035442352295	-1.92597660280716	21773	1.92597660280716	0.0009173679899087353	chr9	40103610	40203618
9_395	-4.33958014704239	-2.1949944496154785	-2.144585697426911	21769	2.144585697426911	0.0006145798424376884	chr9	39403547	39503555
7_630	5.71160992592647	3.136899471282959	2.574710454643511	19634	2.574710454643511	0.0003107223832932922	chr7	62915097	63015120
16_327	-4.40381441382915	-1.5982153415679932	-2.805599072261157	7726	2.805599072261157	0.0002255173388319219	chr16	32619561	32719620
9_404	-4.33958014704239	-1.760575294494629	-2.5790048525477607	21774	2.5790048525477607	0.0003087957022576392	chr9	40303628	40403636
9_390	6.18709412717011	3.0480902194976807	3.1390039076724294	21764	3.1390039076724294	0.0001483433553052618	chr9	38903502	39003510
11_505	-4.37795870702299	-1.3707703351974487	-3.007188371825541	3648	3.007188371825541	0.00017408135116619994	chr11	50402017	50502020
16_605	4.78704820726285	2.3652291297912598	2.42181907747159	7902	2.42181907747159	0.00039048127034317344	chr16	60436241	60536300
16_326	-4.40381441382915	-2.0022902488708496	-2.4015241649583006	7725	2.4015241649583006	0.0004029393122304905	chr16	32519501	32619560
11_504	3.90991317726451	1.9956940412521362	1.914219136012374	3647	1.914219136012374	0.0009385145279700091	chr11	50302013	50402016
