bin	chr	start	end	observed_x	predicted_x	good_residual_x	pval	labels
7_68	7	67058425	68059296	-0.750977417720808	-0.10563620179891586	0.6453412159218921	0.0006864831229195234	4
12_79	12	78499591	79505995	1.18422098971392	0.5583034753799438	0.6259175143339761	0.0008038003361580115	4
16_27	16	26102467	27106407	-0.317608078758731	0.24129801988601685	0.5589060986447478	0.0014331811215891888	2
11_104	11	103004945	104004992	1.08094219170411	0.5268611907958984	0.5540810009082116	0.0014973783811287333	0
3_3	3	2000227	3000339	-0.780147219363831	-0.2317172884941101	0.5484299308697209	0.0015768517815800687	3
5_16	5	15076261	16081344	0.913589679174177	0.4025309979915619	0.5110586811826151	0.002244555516960567	4
4_189	4	188151717	189152523	-0.979603907480884	-0.4718097746372223	0.5077941328436617	0.0023170513457781983	4
7_54	7	53046217	54047088	1.08000280524219	0.6341202259063721	0.4458825793358179	0.004366367102417668	2
2_116	2	115094301	116095120	-0.27145524877471	0.1738978773355484	0.4453531261102584	0.004391243742393303	2
5_84	5	83421973	84427056	0.978667927653343	0.54233318567276	0.436334741980583	0.004840860845324979	4
10_110	10	109431750	110435710	1.04414650941154	0.6168796420097351	0.427266867401805	0.005346663872953905	3
16_8	16	7027588	8031528	-0.434465076208091	-0.013573342934250832	0.42089173327384016	0.005738339681217952	2
3_104	3	103011640	104011752	1.27181522728903	0.8552187085151672	0.4165965187738627	0.006020620325017378	2
20_52	20	51020656	52021060	-0.708224601169113	-0.29219353199005127	0.41603106917906174	0.006058943257371441	1
11_115	11	114005473	115005520	-0.459341089443039	-0.06344499439001083	0.39589609505302814	0.007622101056646513	4
3_90	3	89010058	90010170	0.951727542701076	0.5586444735527039	0.3930830691483721	0.00787485253402398	3
9_122	9	121183074	122184586	-0.61314479776689	-0.23217645287513733	0.3809683448917527	0.009076944860762493	4
2_146	2	145118901	146119720	0.621026496675922	0.24440336227416992	0.3766231344017521	0.00955737888678565	1
11_113	11	112005377	113005424	-0.370745640280485	0.004329979419708252	0.37507561970019326	0.009735326467569805	1
